,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,1.027576387635841,0.38673139158576053,0.37458654906284455,0.9963343108504399,0.5444711538461539,0.5501362748090839,0.09403027252742609,0.6864834942754591,0.6323251417769377,0.0,0.0,0.0,0.5230824504978078,0.0,0.6317757009345795,0.0,0.0,0.0,0.4549379749496892,0.0,0.3562712597053609,0.3578284589133517,0.37470725563844287
1,1.0,0.6866727052768843,0.5418015102481122,0.0,0.0,0.0,0.32595967867044334,-0.24040451200321492,0.6872869371691813,0.6323251417769377,0.0,0.0,0.0,0.5050222678209813,0.0,0.6317757009345795,0.0,0.0,0.0,0.4676283302796384,0.0,0.36507678491613904,0.27228424991884415,0.37165064533344466
2,2.0,0.7475147029342775,0.6321467098166127,0.0,0.0,0.0,0.12434427326774293,0.0,0.6789606867079924,0.6323251417769377,0.0,0.0,0.0,0.5490737431842023,0.0,0.6317757009345795,0.0,0.0,0.0,0.495877511789265,0.0,0.3773637204342506,0.22406019293185345,0.3929386771827801
3,3.0,0.7295247093887905,0.6321467098166127,0.0,0.0,0.0,0.14396931580475014,0.0,0.6757031909008784,0.6323251417769377,0.0,0.0,0.0,0.5661156389654205,0.0,0.6317757009345795,0.0,0.0,0.0,0.5101297570059772,0.0,0.3840147904824569,0.22753459540537047,0.40127973871313755
4,4.0,0.7192238295991316,0.6321467098166127,0.0,0.0,0.0,0.16627403340906588,0.0,0.6737275343310856,0.6323251417769377,0.0,0.0,0.0,0.5723291103246606,0.0,0.6317757009345795,0.0,0.0,0.0,0.5140194635508966,0.0,0.3859941692824244,0.23140819945851787,0.4045625728081434
5,5.0,0.7100733344351718,0.6321467098166127,0.0,0.0,0.0,0.20030426471029794,0.0,0.6725781067557957,0.6323251417769377,0.0,0.0,0.0,0.5755472811739887,0.0,0.6317757009345795,0.0,0.0,0.0,0.5169630252605653,0.0,0.38748095087505113,0.23816363843665428,0.4061511347800376
6,6.0,0.7108427628858704,0.6321467098166127,0.0,0.0,0.0,0.19541579298990122,0.0,0.6711045425871144,0.6323251417769377,0.0,0.0,0.0,0.5817818867895527,0.0,0.6317757009345795,0.0,0.0,0.0,0.5190430420809179,0.0,0.38810341976451335,0.23691116548709745,0.40899230359225286
7,7.0,0.7060877933792826,0.6321467098166127,0.0,0.0,0.0,0.21808176238327343,0.0,0.6712149236287872,0.6323251417769377,0.0,0.0,0.0,0.5851287844728539,0.0,0.6317757009345795,0.0,0.0,0.0,0.5235710209353317,0.0,0.3901749045235195,0.2419277599381035,0.4104903716514779
8,8.0,0.7169734818264119,0.6321467098166127,0.0,0.0,0.0,0.15856169867784972,0.0,0.6681385043663429,0.6323251417769377,0.0,0.0,0.0,0.5820662386019113,0.0,0.6317757009345795,0.0,0.0,0.0,0.5214834950289851,0.0,0.3885253342372396,0.2295661634349765,0.4092339197408341
9,9.0,0.7025932217621623,0.6321467098166127,0.0,0.0,0.0,0.1996429080800296,0.0,0.6658128076329799,0.6323251417769377,0.0,0.0,0.0,0.5886562839829235,0.0,0.6317757009345795,0.0,0.0,0.0,0.5304943982218484,0.0,0.3922873311353573,0.23827511100903515,0.41219214104568225
