,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,1.0173054417874563,0.35706580366774543,0.34249536751080917,0.8130498533724341,0.4819643633202955,0.4759726899902916,-0.1380247289749663,0.6778033595454716,0.6323251417769377,0.0,0.0,0.0,0.5372961985236762,0.0,0.6317757009345795,0.0,0.0,0.0,0.49560718469347914,0.0,0.3755205517546802,0.3284098968326272,0.38361428636585687
1,1.0,0.7215288670124745,0.6321467098166127,0.0,0.0,0.0,0.25557594482199514,0.0,0.7074553658358316,0.6323251417769377,0.0,0.0,0.0,0.5340184674974351,0.0,0.6317757009345795,0.0,0.0,0.0,0.5018247078965548,0.0,0.37961558404471385,0.2516685236212554,0.3838453376658071
2,2.0,0.8036215872440523,0.5151024811218986,0.0,0.0,0.0,0.08649853497542863,-0.2777371078109013,0.6845214626626842,0.6323251417769377,0.0,0.0,0.0,0.5669533240342606,0.0,0.6317757009345795,0.0,0.0,0.0,0.5140645180668609,0.0,0.38462150827720465,0.21879241005284858,0.39981457372988344
3,3.0,0.772407873838079,0.4843581445523193,0.0,0.0,0.0,0.12330962312211624,-0.3176692073852546,0.6818306729451019,0.6323251417769377,0.0,0.0,0.0,0.5794993871065666,0.0,0.6317757009345795,0.0,0.0,0.0,0.5213182951371159,0.0,0.3876160678899407,0.22492474232536422,0.4057276418712389
4,4.0,0.7681253160537896,0.5048543689320388,0.0,0.0,0.0,0.13503294741425037,-0.2913366515082478,0.6816665458656664,0.6323251417769377,0.0,0.0,0.0,0.5857628121625723,0.0,0.6317757009345795,0.0,0.0,0.0,0.5260039647974049,0.0,0.38927582795004984,0.22689397522034283,0.4084611917973477
5,5.0,0.7713835241660846,0.5099784250269687,0.0,0.0,0.0,0.12719456552200414,-0.28457843456900506,0.6772272911887538,0.6323251417769377,0.0,0.0,0.0,0.5956939913387975,0.0,0.6317757009345795,0.0,0.0,0.0,0.5309599615534797,0.0,0.39089613154010494,0.22536761301362973,0.4124934129608916
6,6.0,0.7658712684208007,0.5151024811218986,0.0,0.0,0.0,0.1317707342888313,-0.2777371078109013,0.6744808306202771,0.6323251417769377,0.0,0.0,0.0,0.601186976686994,0.0,0.6317757009345795,0.0,0.0,0.0,0.5352401405700897,0.0,0.39219473811835337,0.22614540199037395,0.414839281170464
7,7.0,0.7574239525594372,0.5302049622437972,0.0,0.0,0.0,0.151975969093111,-0.2570112682225403,0.6754615216714899,0.6323251417769377,0.0,0.0,0.0,0.6043110040308791,0.0,0.6317757009345795,0.0,0.0,0.0,0.5377181389481271,0.0,0.39317709784992916,0.22987731240731435,0.4163677569182319
8,8.0,0.7634960944405651,0.5347896440129449,0.0,0.0,0.0,0.1370764440062855,-0.2505267625627558,0.670082868159606,0.6323251417769377,0.0,0.0,0.0,0.6121268362786801,0.0,0.6317757009345795,0.0,0.0,0.0,0.5440107530111434,0.0,0.3951737578090322,0.22684616182988726,0.41962971486495804
9,9.0,0.7544943495475744,0.52319309600863,0.007317073170731708,0.0021994134897360706,0.003382187147688839,0.15815087250908288,-0.26361446485538004,0.6693568349673302,0.6323251417769377,0.0,0.0,0.0,0.6158464653916946,0.0,0.6317757009345795,0.0,0.0,0.0,0.547509987084372,0.0,0.3964890174888952,0.23087475269739338,0.4213026404590802
10,10.0,0.7533679799997562,0.5714670981661273,0.0,0.0,0.0,0.15201459644891055,-0.19388441620578234,0.6644570678190833,0.6323251417769377,0.0,0.0,0.0,0.6220753071191704,0.0,0.6317757009345795,0.0,0.0,0.0,0.5526311837323161,0.0,0.39833483202030096,0.22917366873193015,0.4239007437194522
11,11.0,0.7452801817700572,0.5687702265372169,0.012448132780082987,0.0021994134897360706,0.0037383177570093464,0.16906568089237636,-0.19431622410864402,0.6623535571454378,0.6323251417769377,0.0,0.0,0.0,0.6254222048024715,0.0,0.6317757009345795,0.0,0.0,0.0,0.5612816507974648,0.0,0.40190522696768705,0.23241393829093632,0.4253675516692905
12,12.0,0.7427520587992128,0.575512405609493,0.013888888888888888,0.0021994134897360706,0.0037974683544303796,0.17533738727693093,-0.18255892986313071,0.6597337307010571,0.6323251417769377,0.0,0.0,0.0,0.6298834541828536,0.0,0.6317757009345795,0.0,0.0,0.0,0.5640900489592406,0.0,0.4028954880293296,0.2334445911055011,0.42727482809241385
13,13.0,0.7389105039185562,0.5814455231930961,0.02040816326530612,0.002932551319648094,0.005128205128205127,0.18544211589082504,-0.17021222294692004,0.6572725868630724,0.6323251417769377,0.0,0.0,0.0,0.6327538704508513,0.0,0.6317757009345795,0.0,0.0,0.0,0.567258883248731,0.0,0.4042068128214694,0.23521891776624418,0.42868905723115763
14,14.0,0.7355261958789928,0.5846817691477886,0.026881720430107527,0.0036656891495601175,0.0064516129032258064,0.1954537948014773,-0.16249264271005023,0.6552898664104916,0.6323251417769377,0.0,0.0,0.0,0.6342063702491152,0.0,0.6317757009345795,0.0,0.0,0.0,0.5684603370077793,0.0,0.40464571477240785,0.23721264014165913,0.42929581820999596
15,15.0,0.7336564368157453,0.5852211434735707,0.03225806451612903,0.004398826979472141,0.007741935483870968,0.20032303103700216,-0.15993050429103683,0.653602173287837,0.6323251417769377,0.0,0.0,0.0,0.6439953735191611,0.0,0.6317757009345795,0.0,0.0,0.0,0.5821869462049079,0.0,0.41904449998436044,0.23822000346950317,0.4453393056493688
16,16.0,0.7309597409465938,0.5846817691477886,0.06862745098039216,0.010263929618768328,0.017857142857142856,0.2150040848037793,-0.14972208461657813,0.6520767084592232,0.6323251417769377,0.0,0.0,0.0,0.6369768791235817,0.0,0.6317757009345795,0.0,0.0,0.0,0.5672739014207191,0.0,0.4039933762990369,0.24145206615876416,0.430576501655437
