,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,1.42803550075173,0.6343042071197411,0.5016233766233766,0.906158357771261,0.64576802507837,0.7114290995666228,0.39041177337848126,0.8419848186983278,0.6323251417769377,0.0,0.0,0.0,0.4554451450770632,0.0,0.6317757009345795,0.0,0.0,0.0,0.44091100231279845,0.0,0.3542935354929588,0.4789109611275876,0.35027079218065427
1,1.0,0.8945744488360169,0.6321467098166127,0.0,0.0,0.0,0.08152014127290744,0.0,0.7190240734240959,0.6323251417769377,0.0,0.0,0.0,0.47875815109840497,0.0,0.6317757009345795,0.0,0.0,0.0,0.4604496440693239,0.0,0.36276188880193383,0.2174941094516835,0.35973131193701813
2,2.0,0.7881194900926263,0.4697950377562028,0.0,0.0,0.0,0.17600437380521053,-0.3358349582610563,0.7367627906889456,0.6323251417769377,0.0,0.0,0.0,0.48773444614799355,0.0,0.6317757009345795,0.0,0.0,0.0,0.4662766948007089,0.0,0.3653675446648582,0.23538318124289698,0.3637526599380736
3,3.0,0.7930160305325139,0.5037756202804746,0.0,0.0,0.0,0.19922973612042477,-0.29274951334825566,0.8259814022732141,0.6323251417769377,0.0,0.0,0.0,0.48041430827579046,0.0,0.6317757009345795,0.0,0.0,0.0,0.46231189739584894,0.0,0.3635860615950453,0.24100983552807378,0.3604908171996634
4,4.0,0.9355110734411813,0.41963322545846815,0.0,0.0,0.0,0.017885091279413092,-0.39627809311645673,0.6777731069770337,0.6323251417769377,0.0,0.0,0.0,0.516459743084295,0.0,0.6317757009345795,0.0,0.0,0.0,0.48503439161385276,0.0,0.37353344072876776,0.21224187438684208,0.37708978501874924
5,5.0,0.6183472282646029,0.5196871628910464,0.018475750577367205,0.005865102639296188,0.008903728436282694,0.4307915073614044,-0.2634432131747638,1.1081481421883932,0.6323251417769377,0.0,0.0,0.0,0.44673398887953863,0.0,0.6317757009345795,0.0,0.0,0.0,0.43416784309013906,0.0,0.35183462941123944,0.30244586410782104,0.3467936391484454
6,6.0,1.0054126991744694,0.4878640776699029,0.0,0.0,0.0,0.20811121300531463,-0.3132349664644242,1.3510166344378982,0.6323251417769377,0.0,0.0,0.0,0.44528148908127463,0.0,0.6317757009345795,0.0,0.0,0.0,0.43296638933109066,0.0,0.35132607369871216,0.2431823313571896,0.34621995994263766
7,7.0,1.2414131075175963,0.30528586839266453,0.0,0.0,0.0,0.005070505089427804,-0.5315662522146867,0.681474577501726,0.6323251417769377,0.0,0.0,0.0,0.716107377392494,0.0,0.6317757009345795,0.0,0.0,0.0,0.627857207220737,0.0,0.6006489160283061,0.2119278234177984,0.6761713119027387
8,8.0,0.6871868982155603,0.46008629989212513,0.17842741935483872,0.12976539589442815,0.15025466893039047,0.5188298194429153,-0.23740178627336275,0.6742188879808091,0.6323251417769377,0.0,0.0,0.0,0.46917472650351016,0.0,0.6317757009345795,0.0,0.0,0.0,0.452647703721503,0.0,0.35936350561030134,0.3412103487989221,0.3558545795622157
9,9.0,0.7242086173518447,0.5763214670981661,0.0,0.0,0.0,0.15415051719996395,-0.18548871766608954,0.6691931543593596,0.6323251417769377,0.0,0.0,0.0,0.473413105544476,0.0,0.6317757009345795,0.0,0.0,0.0,0.45562881086114204,0.0,0.36061919086810823,0.22870627766796028,0.35764563335124644
10,10.0,0.6951698273452483,0.6321467098166127,0.0,0.0,0.0,0.22903629282475751,0.0,0.6739559153302631,0.6323251417769377,0.0,0.0,0.0,0.4623694959671996,0.0,0.6317757009345795,0.0,0.0,0.0,0.4507929594809719,0.0,0.3583884589040466,0.24713423907708776,0.3527646225833297
11,11.0,0.7362054729796021,0.6321467098166127,0.0,0.0,0.0,0.046857484761742715,0.0,0.6617971260966786,0.6323251417769377,0.0,0.0,0.0,0.7882654923705334,0.0,0.6317757009345795,0.0,0.0,0.0,0.7448187306641035,0.0,0.7572078415740754,0.2142192705155303,0.7953504037818423
12,12.0,0.6744532480337602,0.6321467098166127,0.0,0.0,0.0,0.4218731233673296,0.0,0.6575986898463705,0.6323251417769377,0.0,0.0,0.0,0.8200129879611593,0.0,0.6317757009345795,0.0,0.0,0.0,0.7799612531162707,0.0,0.7826545662244218,0.3242322170186059,0.8238182426242779
