,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,0.9969740596789758,0.38214670981661275,0.373187414500684,1.0,0.5435345686391712,0.5268600870257124,0.09185919297870936,0.7064947090437371,0.5378071833648393,0.43990384615384615,0.9408740359897172,0.5995085995085996,0.48773060355593467,0.28741986516577545,0.5588785046728972,0.45112781954887216,0.9137055837563451,0.6040268456375839,0.5351800678821373,0.29440981586447734,0.36099486061653574,0.34299343530518683,0.33221037708765716
1,1.0,0.6610278284665451,0.6081445523193096,0.42495784148397975,0.18475073313782991,0.2575370464997445,0.4893887369511475,0.051668134475466886,0.698668065616449,0.6323251417769377,0.0,0.0,0.0,0.4471067203092518,0.0,0.6317757009345795,0.0,0.0,0.0,0.4312092632084823,0.0,0.3494221181072278,0.42818638427716793,0.34550141832366293
2,2.0,0.7589000651237134,0.6321467098166127,0.0,0.0,0.0,0.11805567718915456,0.0,0.6905253890669414,0.6323251417769377,0.0,0.0,0.0,0.4737051425409524,0.0,0.6317757009345795,0.0,0.0,0.0,0.4470233983119575,0.0,0.3556345506077322,0.22288503926811679,0.3560893933213822
3,3.0,0.7540385261451285,0.6321467098166127,0.0,0.0,0.0,0.11447381096554003,0.0,0.6829855292190451,0.6323251417769377,0.0,0.0,0.0,0.503012592174177,0.0,0.6317757009345795,0.0,0.0,0.0,0.46549574985732733,0.0,0.36271003862513723,0.22266007558927234,0.36866667406231485
4,4.0,0.7421981269873462,0.6321467098166127,0.0,0.0,0.0,0.13859479622271376,0.0,0.6818996147870566,0.6323251417769377,0.0,0.0,0.0,0.5307330512870762,0.0,0.6317757009345795,0.0,0.0,0.0,0.48707686300423514,0.0,0.37228686383789555,0.22680303169915664,0.38177820403663953
5,5.0,0.7429442682183933,0.6321467098166127,0.0,0.0,0.0,0.13601630293355219,0.0,0.6797152524409087,0.6323251417769377,0.0,0.0,0.0,0.5469257342232776,0.0,0.6317757009345795,0.0,0.0,0.0,0.49816027393145706,0.0,0.3776952832443311,0.22622374951502058,0.38992819060847134
6,6.0,0.739426938107613,0.6321467098166127,0.0,0.0,0.0,0.14231334385915745,0.0,0.6778664817656822,0.6323251417769377,0.0,0.0,0.0,0.5598522139094148,0.0,0.6317757009345795,0.0,0.0,0.0,0.5073063406722134,0.0,0.38216528305176634,0.2273155206387168,0.3964663447523819
7,7.0,0.7330486948693326,0.6321467098166127,0.0,0.0,0.0,0.17413165078618398,0.0,0.6799646981046421,0.6323251417769377,0.0,0.0,0.0,0.567185800853824,0.0,0.6317757009345795,0.0,0.0,0.0,0.5134487730153485,0.0,0.38517656630958913,0.23356521756595786,0.40039310276235507
8,8.0,0.7441139966410212,0.6318770226537217,0.0,0.0,0.0,0.15231485767617828,-0.012529019595328818,0.678420221253469,0.6323251417769377,0.0,0.0,0.0,0.5739237860291038,0.0,0.6317757009345795,0.0,0.0,0.0,0.5173985522482204,0.0,0.38675694306810715,0.22911943960509354,0.4034326981182923
9,9.0,0.7470560602707127,0.6289104638619202,0.0,0.0,0.0,0.1359240351605897,-0.043466335040048515,0.6729530661678494,0.6323251417769377,0.0,0.0,0.0,0.5855168862708028,0.0,0.6317757009345795,0.0,0.0,0.0,0.5227300033039979,0.0,0.3883324706177378,0.22606723510066323,0.40796595160438076
10,10.0,0.73515687749481,0.6297195253505933,0.0,0.0,0.0,0.15729841211854312,-0.0376276824766176,0.6707109593150746,0.6323251417769377,0.0,0.0,0.0,0.5938091999339075,0.0,0.6317757009345795,0.0,0.0,0.0,0.5278511999519419,0.0,0.3900358965584623,0.2299079081439631,0.41138732033681724
11,11.0,0.7338251498203319,0.6245954692556634,0.0,0.0,0.0,0.16541594312051483,-0.0665401059152073,0.6694559541677032,0.6323251417769377,0.0,0.0,0.0,0.6085570682559627,0.0,0.6317757009345795,0.0,0.0,0.0,0.5451521340822394,0.0,0.4065360578495649,0.2315824723225405,0.4394275790393195
12,12.0,0.73047906800124,0.6310679611650486,0.0,0.0,0.0,0.16909914750833227,-0.025068184830802344,0.6667676909434097,0.6323251417769377,0.0,0.0,0.0,0.6079191979741854,0.0,0.6317757009345795,0.0,0.0,0.0,0.5383489021716277,0.0,0.39359491392690804,0.23202278964388698,0.4174138464547363
